,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,3.4986452825837047,0.0,8.185884331024269,2.9895810774133094,7.529266623772452,1034.5389318194011,96.01955693366165,1717.427337127146,1055.0494924764444,228637.01118048225,0.36095985242221224,0.0,0.48,0.42038918629263605,0.023175218838783974,0.8145794468095046,0.1935339976102592,0.937807158361598,0.9203553657307698,0.044167020385688274,79.61984772772499,56.509273531970365,133.58413384768608,77.85382978326177,329.60890198902524,175.03390355084247,10.068954222962159,332.425986782038,179.20040897164384,7684.133813973394,5.676972742070347,0.0,81.52911666569337,0.0,335.88413798950756,0.0,0.0,0.0,0.0,0.0,03-29,05-08,105 days,145 days,105,145
1,2,3.4411259327098067,0.0,8.1858559293255,3.1044822767725653,7.452466087306963,1034.3949686901624,94.26229177884144,1725.0925046184605,1041.4046350025612,228008.00868325523,0.37328947089801134,0.0,0.48,0.42038918629263605,0.01875955483326073,0.8144528965366903,0.1935339976102592,0.937807158361598,0.9188189065514792,0.044138680943517555,77.55786835290597,56.68449915856438,110.54438862141416,75.05439256481891,231.62468296938124,175.08403349354333,9.657714452320734,332.4249812263188,180.7721108954559,7683.324596813493,5.7037861966459,0.0,81.52911666569337,0.0,336.29237823553825,0.0,0.0,0.0,0.0,0.0,04-04,05-04,111 days,141 days,111,141
2,3,3.528112149693611,0.0,8.176462199339303,3.255597214338884,7.405323043891716,1034.0811100005412,94.26229177884144,1721.9129962492689,1046.4266728180744,226719.1842009567,0.36969029304239515,0.0,0.48,0.42038918629263605,0.019000465547864807,0.8144535188002039,0.1935339976102592,0.937807158361598,0.9188189065514792,0.044138840663938965,77.2261359938236,58.67068867345851,110.29050933508566,74.62622642386887,227.16942887001653,174.9125832701422,9.657714452320734,332.04105670279955,180.30059720893135,7614.774813119388,5.693043997614741,0.0,81.52911666569337,0.0,336.1248553574628,0.0,0.0,0.0,0.0,0.0,04-03,05-13,110 days,150 days,110,150
3,4,3.5047562964376926,0.0,8.185943332221111,3.0565353889119593,7.490818427679324,1036.535476461186,95.8730725314778,1725.0934779331296,1057.1159601128575,229008.32741530324,0.36061043076770366,0.0,0.48,0.42038918629263605,0.02322023227338638,0.814653377819918,0.1935339976102592,0.937807158361598,0.9203553657307698,0.04417106107881263,79.34348689036368,56.69390898699398,138.42206568029837,77.85382978326177,340.9612159761089,175.56547505302046,10.039805806074733,332.42883329949126,179.90737985337668,7704.248199538448,5.690834888631556,0.0,81.52911666569337,0.0,336.0910627052938,0.0,0.0,0.0,0.0,0.0,03-28,05-04,104 days,141 days,104,141
4,5,3.4986452825837047,0.0,8.185884331024269,2.9895810774133094,7.529266623772452,1034.5389318194011,96.01955693366165,1717.427337127146,1055.0494924764444,228637.01118048225,0.36095985242221224,0.0,0.48,0.42038918629263605,0.023175218838783974,0.8145794468095046,0.1935339976102592,0.937807158361598,0.9203553657307698,0.044167020385688274,79.61984772772499,56.509273531970365,133.58413384768608,77.85382978326177,329.60890198902524,175.03390355084247,10.068954222962159,332.425986782038,179.20040897164384,7684.133813973394,5.676972742070347,0.0,81.52911666569337,0.0,335.88413798950756,0.0,0.0,0.0,0.0,0.0,03-29,05-08,105 days,145 days,105,145
5,6,3.5047562964376926,0.0,8.185943332221111,3.0565353889119593,7.490818427679324,1036.535476461186,95.8730725314778,1725.0934779331296,1057.1159601128575,229008.32741530324,0.36061043076770366,0.0,0.48,0.42038918629263605,0.02322023227338638,0.814653377819918,0.1935339976102592,0.937807158361598,0.9203553657307698,0.04417106107881263,79.34348689036368,56.69390898699398,138.42206568029837,77.85382978326177,340.9612159761089,175.56547505302046,10.039805806074733,332.42883329949126,179.90737985337668,7704.248199538448,5.690834888631556,0.0,81.52911666569337,0.0,336.0910627052938,0.0,0.0,0.0,0.0,0.0,03-28,05-04,104 days,141 days,104,141
6,7,3.4729894083918005,0.0,8.18578248669319,2.9211792663577496,7.42442057325764,1033.770832853314,94.26229177884144,1717.2294545216923,1031.1587254922943,226152.51468262877,0.3700397146969038,0.0,0.48,0.42038918629263605,0.018948818284946874,0.8144479937174604,0.1935339976102592,0.937807158361598,0.9188189065514792,0.044137420851981427,77.65430213679842,56.18147059725824,108.11756737356735,75.74257719216817,225.04834809178922,175.07396064280482,9.657714452320734,332.42152378520314,178.74453727791948,7622.367814383845,5.724200947182842,0.0,81.52911666569337,0.0,336.62537242049956,0.0,0.0,0.0,0.0,0.0,04-11,05-07,118 days,144 days,118,144
7,8,3.5079935093511803,0.0,8.185699239432235,2.996164141604676,7.514678390515159,1036.421288412812,95.8730725314778,1725.339217565034,1059.9133498142062,229297.58101928755,0.36061043076770366,0.0,0.48,0.42038918629263605,0.02322023227338638,0.814653377819918,0.1935339976102592,0.937807158361598,0.9203553657307698,0.04417106107881263,79.19387944402962,56.53645083650803,137.4988584728734,77.85382978326177,341.8588987444083,175.55189617786127,10.039805806074733,332.41768791493473,179.63273459978126,7717.438874900227,5.707518697597916,0.0,81.52911666569337,0.0,336.35182860882884,0.0,0.0,0.0,0.0,0.0,03-28,05-05,104 days,142 days,104,142
8,9,3.5109312415022393,0.0,8.18523180282883,2.9444120838459895,7.730651031426597,1036.6444120613874,94.26229177884144,1724.3593667119655,1035.3977039395431,227184.40744599942,0.36157997474833203,0.0,0.48,0.42038918629263605,0.02303153806480981,0.8144479937174604,0.1935339976102592,0.937807158361598,0.9188189065514792,0.044137420851981427,75.75953097901052,57.0269007854313,99.5146695156409,74.17932485056717,188.82139265496787,175.84806825666004,9.657714452320734,332.3965389421844,182.46498409367223,7656.172977896012,5.793336189591741,0.0,81.52911666569337,0.0,337.89546286894193,0.0,0.0,0.0,0.0,0.0,04-09,04-27,116 days,134 days,116,134
9,10,3.5562721757693048,0.0,8.184874676955038,2.9552312088109574,7.701178470424259,1039.9055469336467,95.7017417931992,1724.4678965946785,1059.9690650026375,229198.7181701123,0.36270696069475544,0.0,0.48,0.42038918629263605,0.02303439755569323,0.81452147879998,0.1935339976102592,0.937807158361598,0.9203071257854649,0.0441538886988807,78.60854987824048,57.161717411091715,138.17421696925442,75.58921968771452,353.78127770324124,176.36822461001492,10.001642989119743,332.3808024585265,182.4999469199447,7695.103421405176,5.746474569107938,0.0,81.52911666569337,0.0,337.0105564607586,0.0,0.0,0.0,0.0,0.0,03-30,04-26,106 days,133 days,106,133
