,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,3.8304657241004714,0.0,8.184305408811293,3.3193638181212988,7.845368390876854,1128.1330208085872,131.76123706000814,1725.3143139843094,1210.6106752033618,191959.93578320954,0.39766985135122035,0.025268523278873477,0.48,0.43679887205377177,0.015340943628275433,0.8557810208088424,0.18515358965621426,0.937807158361598,0.9284372221217134,0.031653951161825164,79.65921034264684,54.99547088446922,151.1381489731155,73.26667688557703,594.0997194435087,191.2638907328014,15.11706251926765,332.35505897647244,195.20239482786786,6881.183987303658,7.5998743572888205,0.0,96.32604274182668,0.0,513.2465538731338,0.0,0.0,0.0,0.0,0.0,02-04,04-22,51 days,129 days,51,129
1,2,3.9033194570167478,0.0,8.185946097156966,3.5155605372255816,7.561950775855909,1138.1485195338144,130.72778740241787,1726.1227196672253,1227.2808876701802,180976.27633296864,0.41415463248220774,0.025268523278873477,0.48,0.43679887205377177,0.009168375647653874,0.8593914559235774,0.2124077513985295,0.937807158361598,0.9241071176490815,0.02836547929547699,75.02180035956172,58.48099641494422,123.20431078520878,70.87066242408487,206.3462509290921,193.31214041073835,14.495982256275962,332.42887480786817,196.23295652778415,6418.60154142101,7.408467507368976,0.0,96.21500679756109,0.0,505.3651150971214,0.0,0.0,0.0,0.0,0.0,01-21,04-18,37 days,125 days,37,125
2,3,3.796123893703782,0.0,8.171850397812479,3.609115023573366,7.65150536778964,1114.1266234619584,107.96254141381213,1719.8820012688836,1166.3263360214198,186523.8808091946,0.41081271900005784,0.022545378279353052,0.48,0.43679887205377177,0.009368497395279647,0.8552041101668801,0.1496716641687817,0.937807158361598,0.928391678907668,0.03214415004874669,79.06797312535605,58.886835437000606,126.90291887437772,72.20778350405918,332.6043065838374,187.8532873610043,12.197974321407045,331.8399831165914,180.60740177158124,6582.464054181476,7.631508453996092,0.0,96.32582175228013,0.0,514.6417178054306,0.0,0.0,0.0,0.0,0.0,02-13,05-14,60 days,151 days,60,151
3,4,3.8719281713974794,0.07964390512046576,8.23613592811234,3.30610671940639,7.909662100830918,1138.327025284771,109.7427121131398,1745.390324750956,1215.7777364080107,200527.89041789732,0.4222800448063169,0.28991503703659577,0.48,0.42038918629263605,0.0027361461971322333,0.8413247174316645,0.14232389940510093,0.9378088923333083,0.9245974173369685,0.03856016147794741,77.50429862366113,54.675600520272965,147.10611840938915,71.47867469957194,555.4349222116772,194.79537610346912,13.975032820224376,332.42833130939965,198.70744225022992,6918.2677117610865,6.988379915084245,0.0,86.32582175228013,0.0,430.2642097215565,0.0,0.0,0.0,0.0,0.0,03-03,04-04,79 days,111 days,79,111
4,5,3.9084212095009905,0.0,8.230096110839662,3.5323706080348183,7.687301877697592,1146.966177486662,140.66618846220817,1724.42190701004,1234.687839616777,178341.6398846032,0.4121579249628273,0.022545378279353052,0.48,0.43679887205377177,0.009087050823431914,0.8608319821515341,0.2046125550028585,0.937807158361598,0.9257616038365953,0.027721132400279958,73.71922009254605,60.598535317108976,119.31064707684841,72.34226451270459,182.40029673419278,195.058627818408,15.837489600544878,332.4310298722632,196.74372394908698,6335.935870609758,7.236416594207974,0.0,96.29756221059257,0.0,501.0643564713427,0.0,0.0,0.0,0.0,0.0,01-15,04-11,31 days,118 days,31,118
5,6,4.02035023483455,0.3519221616156785,8.171322297756202,3.3036169772020405,7.052050838126918,1141.5486231369628,137.15883395112562,1724.352113573456,1213.5930066975043,190074.25605327892,0.4242895563551849,0.34337613308712606,0.48,0.42038918629263605,0.0022328345784638163,0.8546626521045464,0.17336391073001958,0.9378086416209979,0.928439039007314,0.03308589101516423,77.49485281190879,55.82979371189214,151.82196625950442,70.6077850010294,611.9233931153128,193.68576071096425,17.23824290607756,331.7932743168314,198.7732637857919,6709.365696797369,7.605105342133204,0.0,96.32603649194998,0.0,529.4265555001273,0.0,0.0,0.0,0.0,0.0,02-01,03-23,48 days,99 days,48,99
6,7,3.775797651226134,0.0,8.185412398210602,3.682629166256402,7.588198381265732,1113.1815633166846,134.13408288486056,1718.2801528081175,1196.3509579085562,191413.4660542352,0.39794819199590803,0.03167035810668932,0.48,0.43679887205377177,0.01512599353801964,0.8546214861938555,0.18744483304238854,0.937807158361598,0.928402214087203,0.03186922055511947,81.13521837120805,56.10765296880191,147.65402305936593,74.81308782442625,508.80917814592726,187.74653403163538,15.655618794829183,332.40494067836465,188.10942017851434,6854.796881531187,7.606474314429563,0.0,96.00618410508757,0.0,511.53468670069833,0.0,0.0,0.0,0.0,0.0,02-07,05-08,54 days,145 days,54,145
7,8,3.8388631523421024,0.0,8.184332335947484,3.3100215955569032,7.800655935006126,1129.3412026150024,108.75806457265995,1724.470169522149,1180.150767106121,188886.44112353103,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.8531207748345837,0.14715975345843002,0.937807158361598,0.9284372221217134,0.033379429106649566,78.61167308273775,54.690078253404074,148.87984066022835,72.44635617554896,492.00728163583665,192.19264468831375,12.044702445564297,332.35641748893795,187.2280544112776,6619.037174644581,7.674721081890435,0.0,96.24483095791828,0.0,515.399167807585,0.0,0.0,0.0,0.0,0.0,02-16,04-24,63 days,131 days,63,131
8,9,3.95555549367074,0.012324124550257097,8.213079570880836,3.127022078195783,7.523352778288699,1142.700356384948,121.0189390190628,1742.2083355171007,1198.4390789036595,192236.8713493813,0.42424399065167373,0.3514128311408245,0.48,0.42038918629263605,0.0021869136704681003,0.8470997029314987,0.14232389940510093,0.9378088923333083,0.9284372221217134,0.038058545399143134,76.27468291470937,54.68479181188575,147.3432310153633,71.19442603537627,499.49425370184747,195.00875464908415,16.4628555942416,331.5505931073187,197.4401003068233,6614.830632978183,7.011863840606617,0.0,87.91788851808847,0.0,464.79658271984647,0.0,0.0,0.0,0.0,0.0,02-25,03-20,72 days,96 days,72,96
9,10,3.975298243132059,0.24370164032180322,8.166899651718897,3.099170502681066,7.302236353331579,1145.6695408282717,129.3888695106408,1724.918788444321,1199.0585895443103,183919.384835085,0.4246389780096936,0.3514128311408245,0.48,0.42038918629263605,0.0021765267064948446,0.8554475356538113,0.14897207071640284,0.9378088923333083,0.9284372221217134,0.03266785087520808,76.07394380679364,54.66531348002729,146.96210344822657,70.77272073975585,468.51297935775125,195.01677188133618,16.79057125292183,331.5820064658113,187.48846851380827,6381.46214816928,7.695564576211834,0.0,96.32120522407516,0.0,535.4776050318062,0.0,0.0,0.0,0.0,0.0,02-15,03-22,62 days,98 days,62,98
10,11,3.8787870194431973,0.0,8.184305408811293,3.2988120641216065,7.510953960427847,1132.4035247431755,119.05073097459308,1725.1243695433066,1210.5479041138371,182825.0649870662,0.40366477212140756,0.020102728266669593,0.48,0.43679887205377177,0.01262938017459328,0.8584923820912027,0.18061154106044056,0.937807158361598,0.9253807816096448,0.02964623381181115,74.56245977641888,57.55308760853321,124.7284376834272,73.88074804173476,197.8237318500749,192.12405719097754,13.167137929325103,332.35505897647244,196.60229091974514,6519.410055627426,7.575110055504743,0.0,96.32582175228019,0.0,512.2928233709906,0.0,0.0,0.0,0.0,0.0,01-26,04-21,42 days,128 days,42,128
