,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
mean,3.8909291514791304,1148.7960572286786,0.40906561300558525,0.8753078946785497,75.2202120977721,192.92172984247284,8.373333596130646,0.0,01-14,02-13,summary_1
min,0.007105506926357829,165.4080021344658,0.03541034901305288,0.23560741277564481,56.854172315267164,19.61560624472575,0.0,0.0,01-14,02-13,summary_1
max,8.155965961854937,1702.2091710437492,0.48,0.937807158361598,142.97789171449517,331.0735326626634,106.31695011673185,0.0,01-14,02-13,summary_1
median,3.2391551120411823,1197.2818932185658,0.42038918629263605,0.9288483261030936,70.62312354147231,188.42773292693468,0.0,0.0,01-14,02-13,summary_1
var,7.181929084236151,160380.03956952298,0.008765489633074813,0.02302294641744995,359.2376552949903,5718.880903842763,637.70492845496,0.0,01-14,02-13,summary_1
mean,3.9388512899734436,1150.2764557579007,0.42463897800969347,0.864724997840117,75.67235095620963,194.08798249184886,7.934591869054244,0.0,01-14,03-05,summary_2
min,0.0,176.37936960108033,0.3514128311408245,0.2091838962146734,56.92733791428295,23.858117743848627,0.0,0.0,01-14,03-05,summary_2
max,8.155965961854937,1724.6463521358783,0.48,0.9378088923333083,138.94579560731052,331.0735326626634,96.31695011673185,0.0,01-14,03-05,summary_2
median,3.2390539964876153,1219.5982166327706,0.42038918629263605,0.9305156197094878,70.62476305309455,197.43425349994186,0.0,0.0,01-14,03-05,summary_2
var,7.317631196361847,169699.16555282977,0.002176526706494845,0.027423277593056215,371.57421838599424,6008.070741539789,552.5847909026538,0.0,01-14,03-05,summary_2
mean,3.9051992995469758,1151.1079700327857,0.4107736746429376,0.8608944967246367,73.01304121590414,195.84304713720638,7.160276805412387,0.0,01-14,04-04,summary_3
min,0.0,142.46686980112776,0.025268523278873477,0.2091838962146734,60.51749398684475,16.026187826617207,0.0,0.0,01-14,04-04,summary_3
max,8.318026791714644,1724.561771362841,0.48,0.937807158361598,115.7869958332974,332.42833130939965,96.31695011673185,0.0,01-14,04-04,summary_3
median,3.520386628998038,1242.636966239678,0.42038918629263605,0.9281562093961204,71.03338345623922,197.22983516070755,0.0,0.0,01-14,04-04,summary_3
var,7.64626089198434,176586.99153531084,0.008965806751401016,0.027488889087183978,170.8955929966514,6233.066196429922,499.4099413091046,0.0,01-14,04-04,summary_3
mean,3.831173398035904,1142.8836881597933,0.41065527703426286,0.8552080529517114,74.97501667925337,194.8408637625458,7.419904679125707,0.0,02-13,04-04,summary_4
min,0.0,107.96514648822853,0.022545378279353052,0.1496716641687817,54.654596015569005,12.198720166129643,0.0,0.0,02-13,04-04,summary_4
max,8.18593095729165,1724.561771362841,0.48,0.937807158361598,121.07026502941329,332.42833130939965,96.32582175228013,0.0,02-13,04-04,summary_4
median,3.278719923713206,1204.726434051442,0.42038918629263605,0.928391678907668,71.22735867886095,187.5254983887089,0.0,0.0,02-13,04-04,summary_4
var,7.864207250581017,183509.46767425787,0.00906156429482307,0.032144829887359394,299.9280093782249,6364.564583691285,506.4418755585855,0.0,02-13,04-04,summary_4
mean,3.827194173819418,1129.715897307009,0.4140362348735329,0.8552041101668801,77.8485328279988,192.17825708454308,7.6938652828582095,0.0,02-13,04-24,summary_5
min,0.0,107.96360967804583,0.022545378279353052,0.1496716641687817,54.68523795565218,12.198279394077872,0.0,0.0,02-13,04-24,summary_5
max,8.184332335947484,1724.470169522149,0.48,0.937807158361598,134.1642316119645,332.35641748893795,96.32582175228013,0.0,02-13,04-24,summary_5
median,3.3107839158201107,1180.150767106121,0.43679887205377177,0.928391678907668,72.51582231038083,187.2330609028803,0.0,0.0,02-13,04-24,summary_5
var,7.821134078591126,186921.22813830964,0.009264970176388077,0.03214415004874669,395.8766857382867,6564.544225559954,517.4510189068666,0.0,02-13,04-24,summary_5
mean,3.874994984151207,1138.8974665230487,0.42303136877059905,0.8411163099830776,77.41071068048954,194.83680511171988,6.981155254164233,0.0,03-05,04-04,summary_6
min,0.08216795291562726,110.73408058941487,0.3071954882150871,0.14232389940510093,54.675600520272965,14.46304825881873,0.0,0.0,03-05,04-04,summary_6
max,8.235883929197858,1745.354077210162,0.48,0.9378088923333083,146.68492540468293,332.42833130939965,86.32582175228013,0.0,03-05,04-04,summary_6
median,3.289204724030093,1215.7027559299545,0.42038918629263605,0.9232248912911645,71.24010238162744,198.7049027947386,0.0,0.0,03-05,04-04,summary_6
var,7.900996196458346,200218.3637029836,0.002541190591079399,0.03852478729009849,554.1004123256066,6914.707336703988,429.6105782975772,0.0,03-05,04-04,summary_6
mean,3.846495940880229,1119.1547299523359,0.42753931255629246,0.8411140960472459,80.41320603367197,190.4627212029023,7.252652145133342,0.0,03-05,05-04,summary_7
min,0.0,105.0516087843849,0.333116164982824,0.14232389940510093,56.067395334632415,12.903911232006198,0.0,0.0,03-05,05-04,summary_7
max,8.230845949174535,1744.782169850894,0.48,0.9378088923333083,147.72801773102992,332.3998008558396,86.32582175228013,0.0,03-05,05-04,summary_7
median,3.9813771673625626,1201.440099492132,0.43679887205377177,0.9232248912911645,74.80656663712665,193.6639297999684,0.0,0.0,03-05,05-04,summary_7
var,7.508260056595518,203381.04508286293,0.00240539315163443,0.03852434043314665,529.6915731619437,7085.076964067685,440.7528467397924,0.0,03-05,05-04,summary_7
mean,3.782136920551548,1117.0674499089625,0.3949513473240474,0.8366086909815637,74.89746667473041,191.26027328896163,6.441268949181424,0.0,04-04,05-04,summary_8
min,0.0,90.46931375229474,0.0,0.14232389940510093,55.52150514372549,9.534620725830633,0.0,0.0,04-04,05-04,summary_8
max,8.230621773309151,1744.549505652686,0.48,0.937807158361598,97.2524808163912,332.7647010838104,86.32582175228013,0.0,04-04,05-04,summary_8
median,3.410424214554413,1224.5898733991428,0.43679887205377177,0.9187146846177298,71.00051391109761,193.81378863854792,0.0,0.0,04-04,05-04,summary_8
var,7.865079467471191,213419.29236489607,0.017501512841427046,0.03864866226571415,122.66444505084137,7483.177404976,391.1110653027006,0.0,04-04,05-04,summary_8
