,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm),Es,Tr,DeepPerc,CR,biomass,harvest_index,biomass_ns,canopy_cover,run
0,0,WheatGDD,1980-05-30,288,3.0261699570352567,30.0,71.24787558982739,204.35927876110784,0.0,0.0,1210.6106752033618,0.3887771740376242,1666.7866846964694,0.9351421243736561,1
1,1,WheatGDD,1981-05-30,653,5.902277440695467,30.0,82.19193031268351,254.58606853053845,0.0,0.0,1362.2320234216477,0.48,1628.391718576409,0.9372816986070276,1
2,2,WheatGDD,1982-05-24,1012,7.146461591014878,30.0,67.26124889357263,262.2807628242897,0.0,0.0,1507.2188581317787,0.4650230918439555,1719.9670049139345,0.9155835091814667,1
3,3,WheatGDD,1983-05-29,1382,2.585923008533198,30.0,70.17866805291601,160.3594987150571,0.0,0.0,1119.208742503699,0.48,1690.7453593072203,0.9239111342626648,1
4,4,WheatGDD,1984-05-31,1750,3.216893502076248,30.0,64.30361261713638,195.20239482786786,0.0,0.0,1222.7233981131974,0.48,1712.6621369268942,0.9361547321888379,1
5,5,WheatGDD,1985-05-28,2112,8.184305408811293,30.0,62.316266540011135,332.35505897647244,50.68759763885904,0.0,1705.887070956809,0.48,1707.6245850304258,0.9376741417286278,1
6,6,WheatGDD,1986-05-21,2470,2.4082982708167306,30.0,84.64191236339799,170.2317700322965,0.0,0.0,946.1256684620732,0.37552292530191994,1604.1793369318582,0.8661911526242596,1
7,7,WheatGDD,1987-06-02,2847,4.465774372904127,30.0,78.42924302522432,255.6273336893371,0.0,0.0,1362.6035756309063,0.3823030372608826,1675.4964002044467,0.9376443991955711,1
8,8,WheatGDD,1988-05-14,3194,0.2943689598155362,30.0,85.89014488502002,87.1618584313049,0.0,0.0,474.11117781589894,0.3708626776031363,1593.686738532682,0.720575239970047,1
9,9,WheatGDD,1989-05-25,3570,0.4103463729197083,30.0,85.17908147856865,128.65400772956988,0.0,0.0,761.3096389957875,0.377810033644519,1631.9055947091701,0.8075593955157147,1
10,10,WheatGDD,1990-05-16,3926,6.605288021982562,30.0,60.27723481932407,232.5264769180154,0.0,0.0,1486.9672084610731,0.48,1747.721516021659,0.9373381009895915,1
11,11,WheatGDD,1991-06-02,4308,8.087374374048899,30.0,63.24303109978544,302.5705113877973,96.32604274182668,0.0,1725.3143139843094,0.48,1804.8230229894668,0.937807158361598,1
12,12,WheatGDD,1992-05-31,4672,6.619589021200475,30.0,61.66123017433985,261.4627554188262,0.0,0.0,1521.8811366368566,0.48,1787.945954713151,0.9375677585512745,1
13,13,WheatGDD,1993-05-30,5036,5.716126747058264,30.0,54.99547088446922,274.98701392884306,0.0,0.0,1449.1932633201257,0.42038918629263605,1719.0541243661767,0.937664219655994,1
14,14,WheatGDD,1994-05-18,5389,0.018780220984792786,30.0,96.43875391571378,83.01790771494822,0.0,0.0,589.0250271942383,0.37416162369928946,1663.0028565031303,0.8328669065003409,1
15,15,WheatGDD,1995-05-18,5754,3.3193638181212988,30.0,61.68842693939382,187.4397632810046,0.0,0.0,1066.2701486001465,0.3835596233556184,1643.62765646439,0.9287771275200251,1
16,16,WheatGDD,1996-05-17,6119,7.9704551310612075,30.0,73.26667688557703,260.07881099721794,27.783469836957153,0.0,1632.5269116835211,0.48,1786.7170702177107,0.9284372221217134,1
17,17,WheatGDD,1997-05-15,6482,2.098502909798576,30.0,74.72444494708859,142.82592680570488,0.0,0.0,960.586580111807,0.44743434575362756,1753.8411199166546,0.9098938595315629,1
18,18,WheatGDD,1998-05-16,6848,4.150747934995751,30.0,86.40551207825368,174.19183007899872,0.0,0.0,1109.7476285481514,0.44687212582471475,1750.9460933699154,0.8940197729712055,1
19,19,WheatGDD,1999-05-20,7217,4.672406595918278,30.0,64.62243072223227,207.1068960002012,0.0,0.0,1273.3029340504781,0.43679887205377177,1715.944556296103,0.9287232824152494,1
20,20,WheatGDD,2000-05-16,7579,0.0,30.0,151.1381489731155,32.36085784035112,0.0,0.0,303.99609402966166,0.037257069346103545,1695.5270041499778,0.4902993399790768,1
21,21,WheatGDD,2001-05-11,7939,1.2012579945182895,30.0,85.66929746046019,174.5656414454143,0.0,0.0,1024.4561656819685,0.37436627178139603,1649.7054072575036,0.9166976127016574,1
22,22,WheatGDD,2002-05-15,8308,0.0,30.0,146.391195222766,15.11706251926765,0.0,0.0,131.76123706000814,0.025268523278873477,1660.6801676977243,0.18515358965621426,1
0,0,WheatGDD,1980-05-30,288,3.5155605372255816,30.0,70.30523424205454,215.74791419038965,0.0,0.0,1255.583592339505,0.3887771740376242,1667.3892573533747,0.935906038141649,2
1,1,WheatGDD,1981-05-30,653,5.919675259415159,30.0,82.40707865839643,252.1661117735824,0.0,0.0,1354.1190006921547,0.48,1628.290552530193,0.9372230553009598,2
2,2,WheatGDD,1982-05-24,1012,6.9968815641505095,30.0,66.03285705224346,255.41780306228517,0.0,0.0,1482.7140544601998,0.4650230918439555,1719.8671696380452,0.9147670251547817,2
3,3,WheatGDD,1983-05-29,1382,2.475462887215433,30.0,69.89217638682787,161.08651248342193,0.0,0.0,1124.91144232146,0.48,1690.7773194894526,0.9241071176490815,2
4,4,WheatGDD,1984-05-31,1750,3.371584862124957,30.0,64.70734440276185,196.23295652778415,0.0,0.0,1227.2808876701802,0.48,1712.8935666310992,0.9362670887497835,2
5,5,WheatGDD,1985-05-28,2112,8.185946097156966,30.0,61.221400497381445,332.42887480786817,50.723501192011994,0.0,1706.0835678272122,0.48,1707.6245850304258,0.9376741417286278,2
6,6,WheatGDD,1986-05-21,2470,2.4487113584333327,30.0,81.77249833870512,174.84775640062324,0.0,0.0,976.3314402095288,0.37552292530191994,1604.1793369318582,0.872066009142513,2
7,7,WheatGDD,1987-06-02,2847,4.40216806701483,30.0,81.47551596501191,255.1108723885554,0.0,0.0,1360.9604833171122,0.3823030372608826,1675.4913210909112,0.9376351824991248,2
8,8,WheatGDD,1988-05-14,3194,0.4449559151531598,30.0,89.80970209381398,81.32089555275375,0.0,0.0,439.97682668271676,0.3708626776031363,1593.686738532682,0.6500230963613105,2
9,9,WheatGDD,1989-05-25,3570,0.38481064476187093,30.0,82.61251685638254,131.23930308822816,0.0,0.0,781.0487675174979,0.377810033644519,1631.9055947091701,0.8328235355558825,2
10,10,WheatGDD,1990-05-16,3926,6.335292500969421,30.0,61.0792486022384,221.83319831337417,0.0,0.0,1435.6262299907935,0.48,1746.7786789244653,0.9364583606904602,2
11,11,WheatGDD,1991-06-02,4308,8.088865771863327,30.0,63.39963606211459,302.7200515421189,96.21500679756109,0.0,1726.1227196672253,0.48,1804.8230229894668,0.937807158361598,2
12,12,WheatGDD,1992-05-31,4672,6.648748382602286,30.0,61.816324038577356,263.1318517664058,0.0,0.0,1527.967421073393,0.48,1788.1273154691455,0.9375968634003906,2
13,13,WheatGDD,1993-05-30,5036,5.689662643274807,30.0,58.48099641494422,273.6279115079939,0.0,0.0,1443.0841499545686,0.42038918629263605,1719.047588070792,0.9376599246749383,2
14,14,WheatGDD,1994-05-18,5389,0.0,30.0,93.98399898372888,85.35454136467457,0.0,0.0,610.1092734430285,0.37416162369928946,1663.0028565031303,0.8384711293308913,2
15,15,WheatGDD,1995-05-18,5754,3.145646547155643,30.0,68.95868787891783,180.12911155637076,0.0,0.0,1028.9959337052367,0.3835596233556184,1642.9656312436705,0.9236051670160258,2
16,16,WheatGDD,1996-05-17,6119,8.118229035799411,30.0,72.99212309643981,265.63135570519006,23.45624467991336,0.0,1656.334016836135,0.48,1787.117734108562,0.9284506486541766,2
17,17,WheatGDD,1997-05-15,6482,3.191675603197268,30.0,70.87066242408487,149.86231791118513,0.0,0.0,991.777693992409,0.44743434575362756,1753.8411199166546,0.9126392347865172,2
18,18,WheatGDD,1998-05-16,6848,4.347738807290136,30.0,80.11309021758073,184.28150823725144,0.0,0.0,1147.7004024298697,0.44687212582471475,1751.6065936851626,0.8960044240617426,2
19,19,WheatGDD,1999-05-20,7217,4.617530713035756,30.0,64.73637403690053,206.70684685539717,0.0,0.0,1275.0875631053186,0.43679887205377177,1715.944556296103,0.9287232824152494,2
20,20,WheatGDD,2000-05-16,7579,0.090703533107435,30.0,123.20431078520878,63.11154511673445,0.0,0.0,445.7983806260562,0.4164070353588129,1695.5270041499778,0.581005750710518,2
21,21,WheatGDD,2001-05-11,7939,1.356496780437907,30.0,81.77430545844754,179.69400703851824,0.0,0.0,1049.0743140137115,0.37436627178139603,1649.7040821942207,0.916681500457528,2
